Ciudad,Comentario,Categoría del problema,Categoria_Numerica,Nuevo Nivel de Urgencia,Fecha del reporte
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 03 04
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 02 11
cartagena,faltan medicos en el centro de salud,Salud,1,4,2023 07 22
pereira,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 04 20
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 06 11
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 11 18
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 05 02
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 02 18
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 05 01
manizales,falta agua potable en varias casas,Salud,1,4,2023 04 03
medellin,falta agua potable en varias casas,Salud,1,2,2024 04 14
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 05 13
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 03 15
bogota,faltan medicos en el centro de salud,Salud,1,4,2023 09 18
barranquilla,no hay suficientes escuelas publicas,Educación,2,3,2023 09 27
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 11 30
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 06 11
bogota,falta agua potable en varias casas,Salud,1,1,2023 11 15
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 05 13
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 10 08
pereira,falta agua potable en varias casas,Salud,1,4,2024 04 08
medellin,falta agua potable en varias casas,Salud,1,4,2023 09 20
cucuta,falta agua potable en varias casas,Salud,1,2,2024 10 18
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 02 02
santa marta,queremos mas presencia policial,Seguridad,3,3,2023 11 19
cali,queremos mas presencia policial,Seguridad,3,4,2023 03 17
barranquilla,faltan medicos en el centro de salud,Salud,1,2,2024 10 24
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 09 01
cucuta,no hay suficientes escuelas publicas,Educación,2,4,2023 01 07
cali,faltan medicos en el centro de salud,Salud,1,3,2024 06 23
cali,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 05 19
pereira,queremos mas presencia policial,Seguridad,3,3,2024 03 24
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 09 28
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 07 04
barranquilla,faltan medicos en el centro de salud,Salud,1,4,2024 06 06
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 03 06
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 07 20
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 08 22
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 07 15
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 07 19
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 06 29
manizales,faltan medicos en el centro de salud,Salud,1,3,2023 02 04
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 11 25
medellin,faltan medicos en el centro de salud,Salud,1,3,2023 09 17
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 09 22
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 12 13
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 01 09
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 06 05
barranquilla,queremos mas presencia policial,Seguridad,3,4,2023 11 18
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 09 02
cali,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 09 26
cali,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 03 05
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 11 25
barranquilla,falta agua potable en varias casas,Salud,1,3,2023 10 19
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 02 01
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 09 15
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 04 04
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 07 14
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 02 07
santa marta,queremos mas presencia policial,Seguridad,3,3,2024 02 07
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 05 09
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 10 23
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 05 08
bogota,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 12 18
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 01 17
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 06 07
medellin,faltan medicos en el centro de salud,Salud,1,1,2024 10 01
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 03 10
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 04 24
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 08 06
barranquilla,faltan medicos en el centro de salud,Salud,1,4,2024 08 13
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 08 07
cucuta,falta agua potable en varias casas,Salud,1,1,2023 08 23
manizales,queremos mas presencia policial,Seguridad,3,3,2023 05 03
barranquilla,queremos mas presencia policial,Seguridad,3,3,2024 05 10
bucaramanga,falta agua potable en varias casas,Salud,1,4,2024 08 13
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 12 14
cartagena,no hay suficientes escuelas publicas,Educación,2,2,2023 08 16
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 04 10
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 07 26
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 04 27
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 03 22
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 07 01
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 06 06
cartagena,queremos mas presencia policial,Seguridad,3,1,2023 05 22
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 07 04
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 08 26
bogota,queremos mas presencia policial,Seguridad,3,3,2024 07 13
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 04 10
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 05 23
bucaramanga,falta agua potable en varias casas,Salud,1,3,2024 04 26
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 08 24
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 09 24
bucaramanga,falta agua potable en varias casas,Salud,1,2,2024 03 09
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 05 14
,faltan medicos en el centro de salud,Salud,1,2,2024 09 20
manizales,no hay suficientes escuelas publicas,Educación,2,3,2023 09 15
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 03 25
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 07 10
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 05 23
cartagena,no hay suficientes escuelas publicas,Educación,2,3,2024 07 31
cali,faltan medicos en el centro de salud,Salud,1,2,2024 07 26
cali,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 05 15
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 10 15
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 08 14
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 11 23
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 05 11
cartagena,queremos mas presencia policial,Seguridad,3,2,2023 02 25
santa marta,faltan medicos en el centro de salud,Salud,1,3,2024 08 09
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 05 20
medellin,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 09 05
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 12 06
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 02 05
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 08 07
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 04 10
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 07 16
medellin,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 03 30
bucaramanga,faltan medicos en el centro de salud,Salud,1,4,2023 12 16
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 02 05
bucaramanga,faltan medicos en el centro de salud,Salud,1,2,2023 06 29
manizales,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 10 04
pereira,faltan medicos en el centro de salud,Salud,1,2,2024 07 19
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 07 28
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 07 01
pereira,falta agua potable en varias casas,Salud,1,2,2024 01 01
cucuta,no hay suficientes escuelas publicas,Educación,2,1,2023 10 16
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 10 04
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 04 03
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 09 26
medellin,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 01 27
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 06 04
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 10 21
bucaramanga,no hay suficientes escuelas publicas,Educación,2,1,2024 01 13
santa marta,faltan medicos en el centro de salud,Salud,1,4,2023 04 24
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 12 13
cali,no hay suficientes escuelas publicas,Educación,2,3,2023 10 23
bogota,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 04 09
santa marta,queremos mas presencia policial,Seguridad,3,3,2023 01 10
santa marta,falta agua potable en varias casas,Salud,1,4,2024 05 19
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 09 14
bucaramanga,faltan medicos en el centro de salud,Salud,1,4,2023 05 17
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 02 27
,queremos mas presencia policial,Seguridad,3,4,2023 05 20
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 04 13
cali,falta agua potable en varias casas,Salud,1,4,2023 02 16
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 05 16
bucaramanga,faltan medicos en el centro de salud,Salud,1,4,2023 01 25
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 02 08
medellin,queremos mas presencia policial,Seguridad,3,4,2023 11 24
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 08 26
cartagena,falta agua potable en varias casas,Salud,1,4,2023 05 01
bogota,no hay suficientes escuelas publicas,Educación,2,4,2023 04 20
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 07 29
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 03 17
medellin,queremos mas presencia policial,Seguridad,3,2,2024 10 07
manizales,falta agua potable en varias casas,Salud,1,1,2024 09 04
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 11 20
bucaramanga,queremos mas presencia policial,Seguridad,3,2,2024 03 06
barranquilla,queremos mas presencia policial,Seguridad,3,4,2024 01 21
barranquilla,faltan medicos en el centro de salud,Salud,1,3,2023 12 30
cali,faltan medicos en el centro de salud,Salud,1,4,2024 02 10
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 01 31
cali,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 02 12
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 01 21
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 10 08
santa marta,no hay suficientes escuelas publicas,Educación,2,4,2023 03 06
cucuta,falta agua potable en varias casas,Salud,1,1,2023 11 10
santa marta,queremos mas presencia policial,Seguridad,3,4,2023 10 30
cucuta,queremos mas presencia policial,Seguridad,3,4,2024 08 10
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 06 08
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 08 21
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 02 05
cucuta,falta agua potable en varias casas,Salud,1,2,2024 07 19
manizales,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 04 03
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 10 02
cucuta,faltan medicos en el centro de salud,Salud,1,3,2024 08 12
medellin,falta agua potable en varias casas,Salud,1,4,2023 06 22
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 03 13
cali,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 06 18
bucaramanga,no hay suficientes escuelas publicas,Educación,2,2,2024 08 19
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 05 17
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 07 12
cali,falta agua potable en varias casas,Salud,1,4,2023 02 04
medellin,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 06 18
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 06 05
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 10 19
,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 09 01
bucaramanga,no hay suficientes escuelas publicas,Educación,2,2,2024 04 25
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 08 23
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 06 26
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 10 27
cucuta,faltan medicos en el centro de salud,Salud,1,2,2024 04 27
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 03 11
cucuta,faltan medicos en el centro de salud,Salud,1,4,2024 07 26
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 12 30
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 06 01
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 12 19
bogota,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 10 10
manizales,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 09 03
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 01 30
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 06 01
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 04 28
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 05 07
cucuta,queremos mas presencia policial,Seguridad,3,1,2024 01 29
bucaramanga,queremos mas presencia policial,Seguridad,3,4,2024 01 23
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 10 19
pereira,no hay suficientes escuelas publicas,Educación,2,3,2024 03 16
pereira,no hay suficientes escuelas publicas,Educación,2,2,2023 05 04
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 01 01
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 03 14
bucaramanga,faltan medicos en el centro de salud,Salud,1,3,2023 03 16
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 10 12
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 03 29
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 11 24
cali,falta agua potable en varias casas,Salud,1,3,2024 10 04
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 09 03
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 04 07
cartagena,faltan medicos en el centro de salud,Salud,1,2,2023 02 06
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 01 05
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 03 07
cartagena,queremos mas presencia policial,Seguridad,3,1,2023 04 02
cali,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 10 10
barranquilla,queremos mas presencia policial,Seguridad,3,1,2023 05 31
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 02 02
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 11 06
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 10 31
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 04 10
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 08 14
barranquilla,queremos mas presencia policial,Seguridad,3,3,2024 05 07
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 03 07
santa marta,queremos mas presencia policial,Seguridad,3,4,2024 04 28
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 12 01
cartagena,faltan medicos en el centro de salud,Salud,1,4,2023 12 19
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 08 21
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 01 13
medellin,queremos mas presencia policial,Seguridad,3,1,2024 08 26
santa marta,faltan medicos en el centro de salud,Salud,1,2,2023 03 17
bogota,falta agua potable en varias casas,Salud,1,2,2024 11 05
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 02 19
pereira,faltan medicos en el centro de salud,Salud,1,2,2024 01 28
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 07 08
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 10 16
manizales,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 10 04
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 07 06
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 12 30
cartagena,queremos mas presencia policial,Seguridad,3,1,2023 03 10
,falta agua potable en varias casas,Salud,1,3,2023 07 06
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 11 08
santa marta,faltan medicos en el centro de salud,Salud,1,3,2023 07 25
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 03 23
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 09 13
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 01 31
medellin,queremos mas presencia policial,Seguridad,3,1,2023 04 24
cali,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 11 27
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 10 15
cali,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 02 22
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 11 29
barranquilla,falta agua potable en varias casas,Salud,1,1,2023 04 04
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 08 01
cali,faltan medicos en el centro de salud,Salud,1,3,2023 08 22
bogota,falta agua potable en varias casas,Salud,1,2,2024 05 11
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 02 28
bogota,queremos mas presencia policial,Seguridad,3,1,2023 04 05
santa marta,faltan medicos en el centro de salud,Salud,1,4,2023 10 14
bucaramanga,no hay suficientes escuelas publicas,Educación,2,2,2023 07 19
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 12 21
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 11 05
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 06 19
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 01 17
manizales,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 04 21
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 08 18
bucaramanga,falta agua potable en varias casas,Salud,1,4,2023 05 21
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 07 09
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 07 30
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 06 02
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 04 23
cucuta,faltan medicos en el centro de salud,Salud,1,4,2023 09 21
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 02 10
bogota,queremos mas presencia policial,Seguridad,3,4,2023 06 07
medellin,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 07 28
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 08 06
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 08 04
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 06 22
cali,faltan medicos en el centro de salud,Salud,1,4,2023 02 12
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 08 06
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 09 14
bucaramanga,faltan medicos en el centro de salud,Salud,1,2,2024 07 20
barranquilla,queremos mas presencia policial,Seguridad,3,1,2023 09 26
bucaramanga,falta agua potable en varias casas,Salud,1,3,2023 01 11
bucaramanga,no hay suficientes escuelas publicas,Educación,2,2,2024 08 26
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 10 06
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 03 08
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 09 18
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 10 07
cartagena,faltan medicos en el centro de salud,Salud,1,4,2024 04 10
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 01 24
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 04 14
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 06 05
pereira,falta agua potable en varias casas,Salud,1,1,2023 01 03
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 02 06
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 01 21
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 08 10
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 07 11
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 07 13
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 12 29
cucuta,faltan medicos en el centro de salud,Salud,1,3,2024 08 18
pereira,faltan medicos en el centro de salud,Salud,1,3,2023 12 20
pereira,faltan medicos en el centro de salud,Salud,1,3,2024 07 12
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 05 27
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 11 26
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 01 06
cali,queremos mas presencia policial,Seguridad,3,4,2023 07 21
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 10 06
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 10 26
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 08 04
bogota,no hay suficientes escuelas publicas,Educación,2,4,2024 02 21
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 04 04
bogota,no hay suficientes escuelas publicas,Educación,2,4,2023 04 02
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 03 03
medellin,falta agua potable en varias casas,Salud,1,4,2023 04 05
manizales,queremos mas presencia policial,Seguridad,3,4,2023 06 24
cali,falta agua potable en varias casas,Salud,1,3,2024 07 05
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 10 13
,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 12 24
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 09 24
santa marta,no hay suficientes escuelas publicas,Educación,2,3,2024 08 03
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 03 31
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 03 15
medellin,no hay suficientes escuelas publicas,Educación,2,1,2024 11 29
bogota,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 04 28
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 06 12
bucaramanga,queremos mas presencia policial,Seguridad,3,2,2024 02 18
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 07 26
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 02 01
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 10 07
cartagena,queremos mas presencia policial,Seguridad,3,3,2023 02 04
bogota,no hay suficientes escuelas publicas,Educación,2,2,2023 02 04
bucaramanga,queremos mas presencia policial,Seguridad,3,3,2024 04 14
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 09 22
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 08 04
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 02 20
bogota,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 01 06
santa marta,faltan medicos en el centro de salud,Salud,1,3,2023 08 10
santa marta,no hay suficientes escuelas publicas,Educación,2,3,2023 02 12
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 10 06
cartagena,no hay suficientes escuelas publicas,Educación,2,2,2023 11 09
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 09 21
manizales,falta agua potable en varias casas,Salud,1,1,2024 10 07
medellin,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 10 16
bogota,queremos mas presencia policial,Seguridad,3,2,2024 05 03
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 02 04
medellin,faltan medicos en el centro de salud,Salud,1,1,2023 04 11
,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 05 20
cucuta,queremos mas presencia policial,Seguridad,3,1,2024 03 20
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 05 16
cali,faltan medicos en el centro de salud,Salud,1,2,2024 05 23
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 12 02
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 06 20
bogota,falta agua potable en varias casas,Salud,1,4,2024 08 14
pereira,falta agua potable en varias casas,Salud,1,3,2024 08 21
cucuta,faltan medicos en el centro de salud,Salud,1,4,2024 01 10
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 01 05
pereira,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 02 01
bucaramanga,queremos mas presencia policial,Seguridad,3,1,2023 09 22
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 05 16
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 10 03
cartagena,faltan medicos en el centro de salud,Salud,1,1,2024 01 11
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 07 28
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 07 31
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 03 07
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 06 19
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 11 29
bucaramanga,no hay suficientes escuelas publicas,Educación,2,4,2023 01 12
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 10 06
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 04 28
